"2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","COUNTY"
555441,592585.5,629730,666874.5,689148.8,703988,718827.2,722524.3,703937.2,685350.1,666763,"BARINGO"
891390,891701.7,892013.4,892325.1,901922.2,916162,930401.8,936083.2,924647.8,913212.4,901777,"BOMET"
1374477,1420155.9,1465834.8,1511513.7,1537487.2,1553608,1569728.8,1589485.4,1616513.6,1643541.8,1670570,"BUNGOMA"
743592,768265.2,792938.4,817611.6,831676.4,840437,849197.6,858902.3,870495.2,882088.1,893681,"BUSIA"
369902,394639.4,419376.8,444114.2,458993.2,468943,478892.8,482421.4,473107.6,463793.8,454480,"ELGEYO MARAKWET"
515959,527395,538831,550267,556375,559819,563263,569863,582775,595687,608599,"EMBU"
375970,390358.3,404746.6,419134.9,463756.8,523495.5,583234.2,644889.3,710377.2,775865.1,841353,"GARISSA"
963441,1004979,1046517,1088055,1111695,1126386,1141077,1148978.9,1143302.6,1137626.3,1131950,"HOMA BAY"
143211,146410.2,149609.4,152808.6,154516.4,155478.5,156440.6,168174,201450,234726,268002,"ISIOLO"
686992,732932.5,778873,824813.5,852442,870914.5,889387,923315.8,988157.2,1052998.6,1117840,"KAJIADO"
1698576,1741999.2,1785422.4,1828845.6,1856317.8,1875814.5,1895311.2,1904236,1892017,1879798,1867579,"KAKAMEGA"
37724850,39654368.1,41583886.2,43513404.3,44726589.8,45581609,46436628.2,47062406.5,47229703,47396999.5,47564296,"KENYA"
590371,689150.8,787930.6,886710.4,929652.2,944675,959697.8,960310.6,932103.4,903896.2,875689,"KERICHO"
1622363,1685194.1,1748025.2,1810856.3,1846462,1868455,1890448,1956372.5,2110160,2263947.5,2417735,"KIAMBU"
1108770,1182051.6,1255333.2,1328614.8,1371967.6,1400356,1428744.4,1448281.7,1450116.8,1451951.9,1453787,"KILIFI"
527880,548325,568770,589215,600803.6,607964,615124.4,618949.3,616103.2,613257.1,610411,"KIRINYAGA"
1151898,1201550.7,1251203.4,1300856.1,1329120.2,1346690,1364259.8,1365061.7,1332327.8,1299593.9,1266860,"KISII"
968451,1010242.2,1052033.4,1093824.6,1117608,1132387.5,1147167,1156875.4,1156441.6,1156007.8,1155574,"KISUMU"
1012236,1034544.9,1056853.8,1079162.7,1091075.4,1097790,1104504.6,1111701.6,1119863.4,1128025.2,1136187,"KITUI"
649588,692521,735454,778387,803788.2,820423.5,837058.8,850016.1,855617.4,861218.7,866820,"KWALE"
398992,425674.6,452357.2,479039.8,495094.2,505834.5,516574.8,523217.5,521665,520112.5,518560,"LAIKIPIA"
101483,108190.7,114898.4,121606.1,125578.2,128182.5,130786.8,133662.7,137081.8,140500.9,143920,"LAMU"
1097816,1122235.7,1146655.4,1171075.1,1184103.4,1191436,1198768.6,1225484.5,1290967,1356449.5,1421932,"MACHAKOS"
884258,903770,923282,942794,953223.4,959111.5,964999.6,970797.8,976416.2,982034.6,987653,"MAKUENI"
618965,642652.1,666339.2,690026.3,763488.8,861839,960189.2,1009926.1,962436.4,914946.7,867457,"MANDERA"
291075,297561.9,304048.8,310535.7,314005.2,315966,317926.8,333289.1,375454.4,417619.7,459785,"MARSABIT"
1355359,1385506,1415653,1445800,1461884.2,1470937,1479989.8,1491993.9,1509900.6,1527807.3,1545714,"MERU"
916665,956246.1,995827.2,1035408.3,1057929.2,1071920,1085910.8,1097357.8,1103717.2,1110076.6,1116436,"MIGORI"
938500,1000527.7,1062555.4,1124583.1,1161279.8,1185311,1209342.2,1223660,1218551,1213442,1208333,"MOMBASA"
942101,978587,1015073,1051559,1072239.2,1085016.5,1097793.8,1101344.8,1086443.2,1071541.6,1056640,"MURANGA"
3134261,3463608.8,3792956.6,4122304.4,4325124.4,4464680.5,4604236.6,4667253.9,4577193.6,4487133.3,4397073,"NAIROBI"
1602636,1709809.2,1816982.4,1924155.6,1988606,2031695,2074784,2109379.2,2126986.8,2144594.4,2162202,"NAKURU"
752665,802999,853333,903667,933949.8,954207,974464.2,977743.2,947065.8,916388.4,885711,"NANDI"
850292,907155.5,964019,1020882.5,1055092.8,1077976.5,1100860.2,1120291.7,1132818.8,1145345.9,1157873,"NAROK"
598029,623814,649599,675384,690062.8,699188.5,708314.2,703515.8,670869.2,638222.6,605576,"NYAMIRA"
596053,619137.1,642221.2,665305.3,678387.8,686469.5,694551.2,693774,675279,656784,638289,"NYANDARUA"
693354,720207,747060,773913,789132.2,798534.5,807936.8,808700.9,792188.6,775676.3,759164,"NYERI"
223897,238869.1,253841.2,268813.3,277844.6,283905.5,289966.4,295639,300535,305431,310327,"SAMBURU"
841746,878124.3,914502.6,950880.9,971568.8,984411.5,997254.2,1004552.7,1000762.8,996972.9,993183,"SIAYA"
284516,303319.7,322123.4,340927.1,351657.4,358351,365044.6,366623.4,357972.6,349321.8,340671,"TAITA TAVETA"
240008,255871.1,271734.2,287597.3,296982.8,303129.5,309276.2,313630.9,314401.6,315172.3,315943,"TANA RIVER"
365142,373227.9,381313.8,389399.7,393718.2,396153,398587.8,399507.6,397397.4,395287.2,393177,"THARAKA"
818539,873278.8,928018.6,982758.4,1015676.6,1037684,1059691.4,1065960.8,1040754.2,1015547.6,990341,"TRANS-NZOIA"
854991,912167.4,969343.8,1026520.2,1007543,950489,893435,862556.7,884029.8,905502.9,926976,"TURKANA"
893609,953367.2,1013125.4,1072883.6,1108826,1132860.5,1156895,1171944.8,1169025.2,1166105.6,1163186,"UASIN GISHU"
567387,581891.1,596395.2,610899.3,620162.6,626805.5,633448.4,633090.6,618731.4,604372.2,590013,"VIHIGA"
399431,414717.2,430003.4,445289.6,492696.2,556163,619629.8,673873.2,709669.8,745466.4,781263,"WAJIR"
512572,546850,581128,615406,635925.2,649565,663204.8,667192.3,651875.2,636558.1,621241,"WEST POKOT"
